Price,Type,Area(sqm),NoBedrooms,NoBathrooms,Furnishing,Amenities,Location
6500,Apartment,60,studio,1,Furnished,"Central A/C,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6000,Apartment,85,studio,2,Partly furnished,"Balcony,Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool",The Pearl
5142,Apartment,54,studio,1,Partly furnished,"Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Shared Gym,Shared Pool",The Pearl
6500,Apartment,71,studio,1,Partly furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6000,Apartment,60,studio,1,Furnished,"Balcony,Central A/C,Children's Play Area,Security,Shared Gym,Shared Pool",The Pearl
2500,Apartment,40,studio,1,Furnished,Kitchen Appliances,Umm Salal Mohammad
7800,Apartment,60,studio,1,Furnished,"Balcony,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6500,Apartment,60,studio,1,Furnished,"Built in Wardrobes,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
7500,Apartment,72,studio,1,Furnished,"Balcony,Kitchen Appliances,Security,Shared Gym,Shared Pool",The Pearl
6500,Apartment,60,studio,1,Furnished,"Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Landmark,View of Water,Walk-in Closet",West Bay
7000,Apartment,70,studio,1,,,The Pearl
7900,Apartment,70,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,Shared Spa,Study,View of Water",The Pearl
6000,Apartment,35,studio,1,Furnished,Built in Wardrobes,West Bay
8100,Apartment,53,studio,1,,,The Pearl
7500,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,Shared Spa,View of Water",The Pearl
7500,Apartment,99,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Landmark,View of Water",The Pearl
7900,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water,Walk-in Closet",The Pearl
9350,Apartment,70,studio,,,,West Bay
2500,Apartment,40,studio,1,Unfurnished,Security,Old Airport Road
8100,Apartment,60,studio,1,Furnished,"Balcony,Central A/C,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6700,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
7500,Apartment,99,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Landmark,View of Water",The Pearl
6500,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6000,Apartment,35,studio,1,Furnished,Built in Wardrobes,West Bay
7000,Apartment,64,studio,1,Unfurnished,"Balcony,Built in Wardrobes,Children's Play Area,Shared Gym,Shared Pool,Shared Spa,View of Water",The Pearl
5500,Apartment,60,studio,1,Unfurnished,"Built in Wardrobes,Central A/C,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6000,Apartment,70,studio,1,Unfurnished,"Balcony,Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool",The Pearl
6500,Apartment,70,studio,1,Furnished,"Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool",The Pearl
6500,Apartment,65,studio,1,Partly furnished,"Balcony,Central A/C,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool",The Pearl
6000,Apartment,65,studio,1,Furnished,"Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water,Walk-in Closet",The Pearl
2725,Apartment,30,studio,1,Unfurnished,"Concierge,Covered Parking,Security",Mesaimeer
6000,Apartment,70,studio,1,Partly furnished,"Central A/C,Pets Allowed,Security,Shared Gym,Shared Pool",The Pearl
3500,Apartment,40,studio,1,Furnished,Kitchen Appliances,Al Aziziyah
7000,Apartment,61,studio,2,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Children's Pool,Concierge,Covered Parking,Kitchen Appliances,Lobby in Building,Networked,Security,Shared Gym,Shared Pool,View of Landmark,View of Water",The Pearl
7000,Apartment,65,studio,1,Furnished,"Built in Wardrobes,Central A/C,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool",West Bay
3000,Apartment,40,studio,1,Furnished,"Kitchen Appliances,Pets Allowed,Security",Al Mansoura
6500,Apartment,71,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Concierge,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
7800,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Landmark,View of Water",The Pearl
7200,Apartment,53,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6800,Apartment,53,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6500,Apartment,65,studio,1,Furnished,"Built in Wardrobes,Central A/C,Concierge,Covered Parking,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6000,Apartment,76,studio,1,Unfurnished,"Balcony,Central A/C,Shared Gym,Shared Pool,View of Water",The Pearl
4500,Apartment,60,studio,1,Furnished,"Balcony,Central A/C,Children's Play Area,Concierge,Covered Parking,Maid Service,Security,Shared Pool",Al Sadd
2725,Apartment,30,studio,1,Unfurnished,"Security,Shared Gym",Mesaimeer
2725,Apartment,30,studio,1,,,Mesaimeer
2725,Apartment,30,studio,1,,,Mesaimeer
2800,Apartment,55,studio,1,Furnished,"Central A/C,Security",Al Beshairiya Street
7000,Apartment,73,studio,1,Furnished,"Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Security,Shared Gym,Shared Pool",The Pearl
6000,Apartment,76,studio,1,Furnished,"Balcony,Central A/C,Children's Play Area,Covered Parking,Security,Shared Gym,Shared Pool",The Pearl
9000,Apartment,43,studio,1,Furnished,"Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Security,Shared Gym,Shared Pool",West Bay
7900,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6000,Apartment,59,studio,1,Furnished,"Central A/C,Children's Play Area,Security,Shared Gym,Shared Pool",The Pearl
4000,Apartment,40,studio,1,Furnished,"Covered Parking,Kitchen Appliances",Muaither Area
6700,Apartment,57,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances",The Pearl
7500,Apartment,115,studio+Maid,1,Furnished,"Built in Wardrobes,Central A/C,Children's Play Area,Kitchen Appliances,Maid Service,Maids Room,Security,Shared Gym,Shared Pool,Shared Spa,View of Water,Walk-in Closet",The Pearl
4000,HotelApartments,34,studio,1,Furnished,"Central A/C,Children's Play Area,Kitchen Appliances,Security,Shared Gym,Shared Pool",West Bay
6500,Apartment,73,studio,1,Partly furnished,"Balcony,Central A/C,Children's Play Area,Kitchen Appliances,Pets Allowed,Shared Gym,Shared Pool",The Pearl
6500,Apartment,60,studio,1,Furnished,"Central A/C,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Shared Pool,View of Landmark,View of Water",The Pearl
5572,Apartment,60,studio,1,Furnished,"Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6000,Apartment,75,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Spa,View of Water",The Pearl
6500,Apartment,75,studio,1,Furnished,Security,The Pearl
6400,Apartment,60,studio,1,Furnished,"Built in Wardrobes,Central A/C,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,Shared Spa,View of Water",The Pearl
8100,Apartment,64,studio,1,Furnished,"Balcony,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Private Gym,Private Pool,Security,Shared Gym,Shared Pool,Shared Spa,View of Water",The Pearl
6685,Apartment,61,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6000,Apartment,60,studio,1,Partly furnished,"Concierge,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,Shared Spa,View of Water",The Pearl
6500,Apartment,92,studio,1,Furnished,"Built in Wardrobes,Central A/C,Concierge,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
7900,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
7900,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water",The Pearl
7500,Apartment,60,studio,1,Furnished,"Built in Wardrobes,Central A/C,Concierge,Kitchen Appliances,Maid Service,Security,Shared Gym,Shared Pool,Shared Spa,View of Water",West Bay
3000,Apartment,30,studio,1,Unfurnished,Security,Al Mansoura
6000,Apartment,64,studio,1,Furnished,"Balcony,Central A/C,Kitchen Appliances,Security,Shared Gym,Shared Pool",The Pearl
6500,Apartment,80,studio,1,Furnished,"Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6000,Apartment,45,studio,1,Furnished,"Central A/C,Security,Shared Gym,Shared Pool,View of Water",West Bay
5500,Apartment,62,studio,1,Partly furnished,"Built in Wardrobes,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water",The Pearl
3000,HotelApartments,23,studio,1,Furnished,"Central A/C,Maid Service,Security,Shared Gym",Al Ghanim
6000,Apartment,80,studio,1,Partly furnished,"Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6000,Apartment,75,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Spa,View of Water",The Pearl
6700,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6500,Apartment,70,studio,1,Partly furnished,"Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6500,Apartment,65,studio,1,Furnished,"Built in Wardrobes,Central A/C,Children's Play Area,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6000,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water",The Pearl
2600,Apartment,50,studio,1,Unfurnished,"Central A/C,Security",Al Duhail
6000,Apartment,60,studio+Maid,1,Partly furnished,"Balcony,Kitchen Appliances,Maid Service,Maids Room",The Pearl
2500,Compound,40,studio,1,Unfurnished,Security,Old Airport Road
7500,Apartment,73,studio,1,,,The Pearl
5500,Apartment,60,studio,1,Furnished,"Built in Wardrobes,Central A/C,Kitchen Appliances,Pets Allowed,Security,Shared Pool,View of Water",The Pearl
5500,Apartment,60,studio,1,Partly furnished,"Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Landmark,View of Water,Walk-in Closet",The Pearl
6500,Apartment,73,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water,Walk-in Closet",The Pearl
6000,Apartment,65,studio,1,,,The Pearl
7000,Apartment,65,studio,1,Furnished,"Central A/C,Security,Shared Gym,Shared Pool",The Pearl
8200,Apartment,60,studio,1,Furnished,"Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,Shared Spa,View of Landmark,View of Water",The Pearl
6000,Apartment,60,studio,1,Furnished,"Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
7000,Apartment,75,studio,1,Furnished,"Balcony,Central A/C,Concierge,Kitchen Appliances,Maid Service,Security,Shared Pool,View of Water",The Pearl
6000,Apartment,34,studio,1,Furnished,"Security,Shared Gym,Shared Pool",West Bay
7900,Apartment,56,studio,1,,,The Pearl
2725,Apartment,30,studio,1,,,Mesaimeer
2000,Apartment,30,studio,1,Unfurnished,Pets Allowed,Umm Salal Ali
5500,Apartment,89,studio,1,Partly furnished,"Built in Wardrobes,Central A/C,Concierge,Covered Parking,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water",The Pearl
3600,Apartment,70,studio,1,Furnished,"Covered Parking,Kitchen Appliances,Private Pool,Security,Shared Gym",Umm Ghuwailina
3550,Apartment,30,studio,1,,,Al Gharrafa
6500,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Children's Pool,Concierge,Covered Parking,Kitchen Appliances,Lobby in Building,Networked,Pets Allowed,Security,Shared Gym,Shared Pool,View of Landmark,View of Water",The Pearl
6000,Apartment,73,studio,1,Unfurnished,"Balcony,Central A/C,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6500,Apartment,74,studio,1,Furnished,"Balcony,Central A/C,Covered Parking,Kitchen Appliances,Private Pool,Security,Shared Gym,Shared Spa",The Pearl
6000,Apartment,80,studio,1,Partly furnished,"Central A/C,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool",The Pearl
5500,Apartment,60,studio,1,Partly furnished,"Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
3750,Apartment,35,studio,1,Furnished,"Kitchen Appliances,Pets Allowed",West Bay
6000,Apartment,60,studio,1,Partly furnished,"Built in Wardrobes,Central A/C,Concierge,Covered Parking,Security,Shared Gym,Shared Pool",The Pearl
2800,Apartment,40,studio,1,Furnished,"Built in Wardrobes,Covered Parking,Kitchen Appliances,Security",Al Mansoura
6500,Apartment,88,studio,1,,,The Pearl
6500,Apartment,73,studio,,,,The Pearl
6000,Apartment,60,studio,1,Furnished,"Balcony,Central A/C,Children's Play Area,Covered Parking,Security,Shared Gym,Shared Pool",The Pearl
7000,Apartment,70,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Concierge,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6000,Apartment,75,studio,1,Partly furnished,"Built in Wardrobes,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6500,Apartment,60,studio,1,Furnished,"Built in Wardrobes,Central A/C,Concierge,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
5500,Apartment,60,studio,1,Partly furnished,"Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Pets Allowed,Security,Shared Gym,Shared Pool",The Pearl
6500,Apartment,65,studio,1,Unfurnished,"Built in Wardrobes,Kitchen Appliances,Security,Shared Gym,View of Water",The Pearl
7000,Apartment,70,studio,1,,,The Pearl
5500,Apartment,85,studio,1,Partly furnished,"Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water",The Pearl
7000,Apartment,54,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
7000,Apartment,54,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6000,Apartment,75,studio+Maid,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Maids Room,Security,Shared Gym,Shared Pool,View of Water,Walk-in Closet",The Pearl
5500,Apartment,60,studio,1,Partly furnished,"Built in Wardrobes,Central A/C,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6000,Apartment,60,studio,1,Partly furnished,"Balcony,Central A/C,Concierge,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6700,Apartment,56,studio,1,Furnished,"Balcony,Central A/C,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6500,Apartment,75,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Concierge,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
8100,Apartment,61,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,Shared Spa,View of Water",The Pearl
5500,Apartment,60,studio,1,Partly furnished,"Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6500,Apartment,60,studio,1,Furnished,"Balcony,Central A/C,Kitchen Appliances,Security,Shared Gym,Shared Pool",The Pearl
7800,Apartment,61,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water",The Pearl
7800,Apartment,61,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6000,Apartment,55,studio,1,Partly furnished,"Central A/C,Covered Parking,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6500,Apartment,75,studio,1,Partly furnished,"Balcony,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Landmark,View of Water",The Pearl
6500,Apartment,70,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Covered Parking,Kitchen Appliances,Maid Service,Pets Allowed,Security,Shared Gym,Shared Pool",The Pearl
6000,Apartment,76,studio,1,Furnished,"Balcony,Central A/C,Children's Play Area,Covered Parking,Security,Shared Gym,Shared Pool",The Pearl
6000,Apartment,50,studio,,Partly furnished,"Built in Wardrobes,Central A/C,Children's Play Area,Kitchen Appliances,Security,Shared Gym,Shared Pool,Shared Spa",The Pearl
7500,Apartment,55,studio,1,Furnished,"Balcony,Security,Shared Gym,Shared Pool,Shared Spa,View of Water",The Pearl
6500,Apartment,73,studio,,,,The Pearl
6500,Apartment,88,studio,1,,,The Pearl
8100,Apartment,53,studio,1,,,The Pearl
7500,Apartment,59,studio,1,Furnished,"Balcony,Central A/C,Concierge,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
2800,Apartment,55,studio,1,Furnished,"Central A/C,Security",Al Beshairiya Street
2800,Apartment,55,studio,1,Furnished,"Central A/C,Security",Al Beshairiya Street
3500,Apartment,60,studio,1,Furnished,"Central A/C,Concierge,Covered Parking,Kitchen Appliances,Private Jacuzzi,Private Pool,Security",Al Sadd
7200,Apartment,53,studio,1,Furnished,"Balcony,Central A/C,Concierge,Security,Shared Pool",The Pearl
5500,Apartment,60,studio,1,Partly furnished,"Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6000,Apartment,50,studio,1,Furnished,"Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",West Bay
6500,Apartment,60,studio,1,Furnished,"Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
8100,Apartment,53,studio,1,,,The Pearl
6000,Apartment,80,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water",The Pearl
3000,Apartment,40,studio,1,Furnished,"Kitchen Appliances,Security",Salata
7500,Apartment,75,studio,1,Furnished,"Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",West Bay
3950,Apartment,40,studio,1,,,Al Gharrafa
6500,Apartment,63,studio,1,Partly furnished,"Built in Wardrobes,Central A/C,Concierge,Shared Pool",The Pearl
6000,Apartment,65,studio,1,Unfurnished,"Balcony,Built in Wardrobes,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool",The Pearl
6000,Apartment,60,studio,1,Partly furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Security,Shared Gym,Shared Pool,Walk-in Closet",The Pearl
6000,Apartment,76,studio,1,Furnished,"Balcony,Central A/C,Children's Play Area,Covered Parking,Security,Shared Gym,Shared Pool",The Pearl
6000,Apartment,60,studio,1,Partly furnished,"Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
9500,HotelApartments,45,studio,1,Furnished,"Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,Shared Spa",West Bay
6000,Apartment,35,studio,1,Furnished,Built in Wardrobes,West Bay
